epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7790.45,0.84073,0.74135,1.00805,0.80001,0.71703,0.76691,0.53064,0.99679,0.99666,1.13481,0.000742625,0.000742625,0.000742625
43,8034.56,0.85896,0.74109,1.00565,0.74346,0.73154,0.77636,0.53993,1.01681,0.99173,1.13601,0.00073025,0.00073025,0.00073025
44,8277.3,0.83682,0.7195,1.00075,0.74091,0.74867,0.75689,0.52194,1.05272,1.08734,1.14423,0.000717875,0.000717875,0.000717875
45,8520.48,0.82944,0.71309,0.99559,0.73986,0.74204,0.77646,0.55202,0.99823,0.99435,1.12405,0.0007055,0.0007055,0.0007055
46,8765.28,0.82365,0.71561,0.99512,0.79777,0.76226,0.79681,0.54525,1.01254,0.99384,1.1409,0.000693125,0.000693125,0.000693125
47,9006.09,0.82241,0.70454,0.9919,0.73127,0.75882,0.78499,0.55484,0.97573,1.02887,1.1273,0.00068075,0.00068075,0.00068075
48,9247.78,0.80626,0.68549,0.9877,0.77574,0.72613,0.78344,0.54917,0.99173,0.97663,1.12522,0.000668375,0.000668375,0.000668375
49,9490.44,0.79835,0.67883,0.98286,0.72822,0.774,0.79667,0.56077,0.98965,0.95512,1.12506,0.000656,0.000656,0.000656
50,9731.3,0.7976,0.67903,0.99163,0.79405,0.73763,0.8002,0.54883,1.00767,0.93803,1.12936,0.000643625,0.000643625,0.000643625
51,9971.57,0.8077,0.68158,0.98865,0.78313,0.75302,0.79107,0.54884,1.01359,0.97596,1.13274,0.00063125,0.00063125,0.00063125
52,10212.1,0.78965,0.66172,0.97997,0.81875,0.72922,0.79104,0.55074,1.02814,0.98435,1.14684,0.000618875,0.000618875,0.000618875
53,10453.9,0.79187,0.66278,0.98471,0.72595,0.7853,0.77582,0.53956,1.04423,0.99927,1.15837,0.0006065,0.0006065,0.0006065
54,10700.6,0.78429,0.65193,0.9769,0.76601,0.76614,0.78596,0.54216,1.02053,1.0133,1.15313,0.000594125,0.000594125,0.000594125
55,10943,0.77598,0.64525,0.97806,0.71294,0.8036,0.78709,0.55118,1.04304,0.97118,1.17591,0.00058175,0.00058175,0.00058175
56,11187.7,0.77818,0.64404,0.97417,0.74394,0.7879,0.77763,0.53609,1.01132,0.98329,1.14576,0.000569375,0.000569375,0.000569375
57,11431,0.77043,0.63088,0.96828,0.76104,0.75759,0.77901,0.54484,1.02031,0.98349,1.14343,0.000557,0.000557,0.000557
58,11672.1,0.7652,0.63446,0.97344,0.80165,0.76441,0.80286,0.56826,0.99158,0.95889,1.12437,0.000544625,0.000544625,0.000544625
59,11913.4,0.75323,0.61572,0.9661,0.75459,0.75624,0.79442,0.5549,1.03182,0.98714,1.15221,0.00053225,0.00053225,0.00053225
60,12155,0.7605,0.62163,0.9652,0.81855,0.75738,0.80659,0.56281,1.01737,0.91824,1.15823,0.000519875,0.000519875,0.000519875
61,12398.9,0.74907,0.61286,0.95974,0.78889,0.75702,0.79542,0.56691,0.98704,0.92405,1.13497,0.0005075,0.0005075,0.0005075
62,12640.9,0.73646,0.6019,0.95757,0.79969,0.77192,0.80832,0.56649,1.00487,0.92471,1.14603,0.000495125,0.000495125,0.000495125
63,12884.1,0.74314,0.59769,0.95557,0.73178,0.79456,0.79341,0.55571,1.00024,0.97823,1.14127,0.00048275,0.00048275,0.00048275
