epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.316,1.35468,2.74348,1.2935,0.01821,0.71678,0.14458,0.07431,1.11787,3.14802,1.14574,0.000410156,0.000410156,0.000410156
2,224.462,1.33075,2.14313,1.28229,0.41334,0.38319,0.34674,0.20396,1.26778,2.11335,1.21955,0.000744967,0.000744967,0.000744967
3,324.514,1.29166,1.95649,1.25279,0.43885,0.47689,0.43993,0.26606,1.22059,1.85034,1.20483,0.000997279,0.000997279,0.000997279
4,424.248,1.27213,1.81669,1.23117,0.40529,0.49559,0.45752,0.28081,1.20209,1.84671,1.25292,0.00087875,0.00087875,0.00087875
5,524.013,1.1976,1.70004,1.19803,0.54261,0.55416,0.54193,0.32503,1.17375,1.49088,1.1891,0.000755,0.000755,0.000755
6,623.697,1.16664,1.58275,1.18229,0.52422,0.60126,0.55825,0.35281,1.1491,1.51314,1.21274,0.00063125,0.00063125,0.00063125
7,728.686,1.10187,1.47912,1.14852,0.53522,0.68812,0.60699,0.39882,1.08874,1.37548,1.16542,0.0005075,0.0005075,0.0005075
8,854.693,1.04006,1.37829,1.11587,0.57451,0.63174,0.61928,0.39909,1.07858,1.38046,1.17069,0.00038375,0.00038375,0.00038375
9,979.168,1.00743,1.31602,1.09365,0.57913,0.69781,0.65472,0.44708,1.02907,1.28186,1.1257,0.00026,0.00026,0.00026
10,1105.66,0.97418,1.23353,1.07268,0.6529,0.69073,0.68335,0.46952,1.01783,1.24006,1.13297,0.00013625,0.00013625,0.00013625
